"","r","lambda","lp__"
"173",1.22800002269037,0.47156469460113,-4.08375139654172
"174",-0.242610534104651,0.471021916172725,-3.29488114009742
"175",-0.517275964824528,0.544276591502385,-3.29459567952199
"176",-1.36972054701318,0.275617243701309,-4.75420725726751
"177",-1.27232082464898,0.283728789061051,-4.58824091553315
"178",-0.808899904672456,0.735598697730996,-3.34383810484975
"179",-2.15224713378247,0.612603608701182,-5.40939347729674
"180",-1.22987388751255,0.494671544987238,-3.98123409435667
"181",1.43596977875724,1.17078432428064,-4.2093120376952
"182",0.280266741181931,0.498967821463025,-3.32453129354762
"183",-0.1721395932136,0.584761234988547,-3.14181331523952
"184",1.31198242510831,0.484110827126814,-4.17454644607124
"185",1.58407041995005,0.421171016871983,-4.72070072436378
"186",1.58407041995005,0.421171016871983,-4.72070072436378
"187",-1.09154131247273,1.62104568201753,-3.66792532331737
"188",-1.3884160334655,2.861052851088,-4.48867440505443
"189",-1.76342928132975,0.78062835925883,-4.55376739878248
"190",-1.46494781797818,0.822597238210083,-4.05924747280558
"191",-1.65831179928237,0.894535056939792,-4.34655678299097
"192",-1.17183089514242,1.0958728598205,-3.65189996237154
"193",-1.25483817677882,1.08141557616677,-3.75175272893832
"194",0.141881938341049,1.19468056592129,-3.11555654363135
"195",-1.17711851380919,0.972863999377657,-3.65674485445025
"196",-1.30677025264956,0.393876402903053,-4.26883160270353
"197",-0.77860559577853,0.931117379331887,-3.27017757649799
"198",-0.410433073473653,0.667504028426529,-3.13839031844121
"199",-0.118800154630449,0.130687628591835,-5.07356898411885
"200",-0.880312180558369,2.71658669321463,-3.85510920947541
"201",-1.55060001785482,5.92638738657535,-5.95477472913356
"202",-0.366594304042825,2.60022497274481,-3.48645965533263
"203",-0.675023284399631,0.126200362484151,-5.36236098135868
"204",1.30934046342661,1.17128188988909,-4.01839721269504
"205",-0.908969256442101,0.485309628744154,-3.65202202312601
"206",-1.46203108401831,0.297729998128475,-4.78750811429447
"207",1.33773746374651,0.904192227755009,-4.00902202459765
"208",0.798717161678239,0.58496798434784,-3.52198298308772
"209",0.62649448279165,4.22462728646638,-5.11132621385545
"210",0.783983946363937,4.75123457375542,-5.56904643004473
"211",0.839924510963862,4.18254193222251,-5.24400750641378
"212",0.757030327779793,0.324577682697612,-3.94901342630617
"213",0.757030327779793,0.324577682697612,-3.94901342630617
"214",0.105716183748507,2.28292702849614,-3.51393528996899
"215",-0.0243824458699577,7.68309368834654,-5.15743547896938
"216",-0.138003887405108,0.430622309041099,-3.353656199746
"217",0.27332831492676,0.219295882312321,-4.2049864479941
"218",-0.128560895854681,0.430282663852391,-3.35387422402336
"219",1.13242542892938,0.330765087786534,-4.28369383126974
"220",0.445108418462541,1.93401139625343,-3.59119168455596
"221",-0.681973381012554,1.57487798957643,-3.29141512671206
"222",-1.32149051573646,1.4590596412133,-3.90094269935008
"223",-2.16379591128225,1.46517447624194,-5.37032193629943
"224",-0.931946984207088,0.96040858511505,-3.3989181320339
"225",0.275652692542236,0.405013651668083,-3.48033746177522
"226",0.0459854353531436,2.04094912061438,-3.33780724905369
"227",-0.243196611170187,3.07201911106574,-3.624256347005
"228",0.0557047627779989,0.446169392415568,-3.34258958136223
"229",-0.505411035151331,2.72595932838226,-3.59813651751015
"230",0.29785039772094,0.504959002671875,-3.32283112816843
"231",-0.0587819382713801,2.02803504742398,-3.24720590101778
"232",-0.964733767259482,1.49330688196244,-3.50191572005081
"233",-1.18879795427076,0.867962062364579,-3.68263992684206
"234",-0.495850752577242,0.536193540020958,-3.29329903025669
"235",0.25733966784868,1.58871029527348,-3.32180582118746
"236",-0.117135841912592,0.409467425478232,-3.39689330174505
"237",-0.580085828302223,1.60609438322986,-3.23615863672774
"238",0.45424198014179,0.710586026105969,-3.23519304399301
"239",-0.764795023438366,1.04596838382156,-3.25555039451878
"240",-1.31701706236251,0.329724446036022,-4.46624596976568
"241",-1.5952986800927,3.35017848264328,-4.99323871910477
"242",-0.211215128186843,0.577667126297406,-3.1533968831428
"243",-0.366499193733429,1.69682620182828,-3.16301689202463
"244",-1.10112487104298,2.01505096125576,-3.80806674134084
"245",1.12409818551256,0.835525531174364,-3.74087950909873
"246",0.125647886183253,0.897804925553607,-3.07199247229074
"247",0.407975993410975,1.55451264903869,-3.38111140837986
"248",-0.661808729352931,0.439474131112166,-3.53627695751241
"249",1.42425802204349,0.299696027450235,-4.77437842288283
"250",-2.25226926946437,3.74092431957466,-6.41474714753979
"251",-2.0796823690533,1.28791025099282,-5.15270956673913
"252",1.43769883424036,0.846997307482789,-4.16071560802811
"253",0.0894888504311662,1.88989721352151,-3.32248784159835
"254",-0.254367070501199,1.09566770659483,-3.00264725423237
"255",0.721007803039414,0.566392807254033,-3.47842647525864
"256",-1.07894476924184,1.20267075165941,-3.55843237608593
"257",-1.07894476924184,1.20267075165941,-3.55843237608593
"258",-0.459693841786648,6.29980326048943,-4.99033127765292
"259",0.165421427712492,1.64174286598156,-3.28570247876103
"260",-0.558784647757353,0.200705289980867,-4.43463091644288
"261",-0.0806169009275476,0.275034934135049,-3.83255534497471
"262",0.00393496164046898,2.19007412054495,-3.35211992397705
"263",-0.202547316908012,0.600843099096149,-3.13072031433372
"264",0.942398775681637,1.59536895883073,-3.76908002818278
"265",0.508250657171626,0.652677324205145,-3.28710969058125
"266",-0.085754442104104,0.944543924298012,-2.99530726785513
"267",0.417348564953046,0.507501781126468,-3.36557465620863
"268",-0.559503012144409,1.14894598451102,-3.12657556282125
"269",-0.691101275888437,0.592161473026182,-3.35004356253744
"270",-0.134533256818405,0.468725031156937,-3.28490989517346
"271",-1.03047682465626,0.554549137638665,-3.67991055114284
"272",-0.92632274836597,0.282142393672006,-4.21502580252373
"273",0.525888296631905,0.828962987746653,-3.24612572255024
"274",-0.102803819225995,0.546337612641709,-3.17901643427625
"275",-0.0138166502986,1.78945608502355,-3.19201439677616
"276",0.154056824904751,0.660010315953775,-3.1440287938326
"277",-0.537293005948622,0.527628312053878,-3.32504389073179
"278",-0.176397399856402,0.836438841243987,-3.00871828183626
"279",-0.0370262534463812,0.674105046360927,-3.08030305355941
"280",-0.263381060048321,0.182297377753932,-4.47453591928893
"281",0.706281995800699,0.261330914196597,-4.17265044428225
"282",0.769735295601337,0.455795767570285,-3.64880223849523
"283",-0.281108047350476,1.75043301388079,-3.15335768186428
"284",-0.785006336164547,1.49319836118104,-3.34466250806405
"285",-1.4361843713578,1.05157370830136,-3.99452329010631
"286",-1.20488138649285,2.04484872237288,-3.93832968623589
"287",1.09081182126688,0.282974963384308,-4.41705376378239
"288",-1.03189971168556,1.69774708183952,-3.62783583832427
"289",-0.982803231117412,0.0942069668518593,-6.26689033986763
"290",-2.35838638457165,0.911201783000949,-5.75026925139331
"291",0.115249244839835,2.37634752926134,-3.57006608935567
"292",-0.457870349272805,3.52458554087122,-3.89224051231796
"293",0.0330396076833961,0.354201001047197,-3.54802245706698
"294",-0.442405443756318,0.197998843514733,-4.39857940561678
"295",-0.949732327951447,0.240881979770596,-4.45128610300401
"296",0.812828493722522,0.97497794360653,-3.44277971945444
"297",-0.185744651194191,1.60750507405537,-3.09382017924915
"298",-1.43315532751256,2.67661116016919,-4.47889326870752
"299",-1.36974540141051,0.706347723386029,-3.96889139439754
"300",-0.806993818477913,5.27200810919347,-4.81852249904679
"301",-0.737357160858385,3.65857714539454,-4.1167335388825
"302",-2.78822275772895,1.32375672427759,-6.88415104832846
"303",-1.92117672625346,0.845638317378951,-4.82606674976704
"304",-1.1865129726715,9.22440124126097,-6.72838714004237
"305",-1.29768755094084,6.04479565464099,-5.64126918209549
"306",-0.118671938457726,3.97271471955069,-3.92355315426361
"307",-0.325465926495576,1.10092608299383,-3.02101690238242
"308",0.0893627107895111,2.13767462854952,-3.42825871242736
"309",-0.356634619591178,1.06095014097578,-3.02887791122243
"310",0.405895714935723,0.939790043360748,-3.18753267084839
"311",-0.845132506785561,0.690950237641402,-3.39628767951248
"312",-0.366650015967814,0.735349452935979,-3.08551117362599
"313",-1.15018782710431,0.557054359240725,-3.80770215190378
"314",1.64514550943893,0.666649833566245,-4.66675322630251
"315",-1.80356040716119,2.04809023501854,-4.84003699642097
"316",-1.54937278140186,2.18286805916933,-4.46301130071062
"317",-0.0516811488008762,0.315411202387992,-3.66557784502395
"318",-0.512553877083699,0.713473176866352,-3.15884992650019
"319",-1.13142156335213,0.204938937002602,-4.88498701904426
"320",0.181308238121274,0.432439128661806,-3.39835620148643
"321",0.503513608817226,1.35967252415387,-3.345170195128
"322",0.460865609735751,2.26422313612795,-3.78484329170476
"323",0.365235734640816,1.07760245713717,-3.19038285680813
"324",0.0325385396901541,0.629625518966737,-3.12496520622453
"325",0.154252495339675,1.2629747351593,-3.14071361275303
"326",-0.377305662877001,0.412800349538452,-3.44382310320432
"327",-0.351126430696745,0.424559065128009,-3.40970139013669
"328",-1.2440545081912,1.58271793576518,-3.83490252012869
"329",-1.18253236167641,2.39236963973442,-4.04079325353491
"330",-0.640296765662034,3.90575100828593,-4.14910867310076
"331",-0.837858207782013,3.49661543628642,-4.1307006118944
"332",-1.08685318821895,0.18827350503788,-4.97432647669047
"333",-1.29752132909424,0.189405526461111,-5.21543939125465
"334",-0.971791036467593,0.202904017348927,-4.73307627839189
"335",-0.225684084273444,0.634673559574045,-3.10702293510004
